Buying,Selling,Mid Rate
0,0.823,0.4115
0,0.8303,0.4152
0,0.8446,0.4223
0,0.8616,0.4308
0,0,0
0,0.8862,0.4431
0,0.8657,0.4329
0,0.8681,0.4341
0,0.8758,0.4379
0,0.8605,0.4303
0,0.8503,0.4252
0,0.8625,0.4313
0,0.8687,0.4344
0,0.859,0.4295
0,0.8382,0.4191
0,0.8741,0.4371
0,0.8741,0.4371
0,0.8762,0.4381
0,0.8704,0.4352
0,0.859,0.4295
0,0.8698,0.4349
0,0.861,0.4305
0,0.8739,0.437
0,0.8711,0.4356
0,0.8753,0.4377
0,0.8774,0.4387
0,0.8783,0.4392
0,0.8982,0.4491
0,0.9077,0.4539
0,0.9072,0.4536
0,0.9095,0.4548
0,0.9412,0.4706
0,0.9595,0.4798
0,0.9681,0.4841
0,0.9749,0.4875
0,0.9627,0.4814
0,0.9704,0.4852
0,0.9726,0.4863
0,0.9433,0.4717
0,0.9575,0.4788
0,0.9585,0.4793
0,0.9849,0.4925
0,0.9982,0.4991
0,1,0.5
0,0.9971,0.4986
0,0.985,0.4925
0,0.9952,0.4976
0,0.9955,0.4978
0,1.008,0.504
0,1.0073,0.5037
0,1.0076,0.5038
0,0.9973,0.4987
0,0.9812,0.4906
0,0.9959,0.498
0,1.0046,0.5023
0,1.0162,0.5081
0,1.0136,0.5068
0,0.9952,0.4976
0,1.0137,0.5069
0,1.0427,0.5214
0,1.0466,0.5233
0,1.0537,0.5269
0,1.0572,0.5286
0,1.0727,0.5364
0,1.0774,0.5387
0,1.0925,0.5463
0,1.0896,0.5448
0,1.1006,0.5503
0,1.0762,0.5381
0,1.0831,0.5416
0,1.076,0.538
0,1.1097,0.5549
0,1.1092,0.5546
0,1.1113,0.5557
0,1.1166,0.5583
0,1.1157,0.5579
0,1.131,0.5655
0,1.1212,0.5606
0,1.1391,0.5696
0,1.1709,0.5855
0,1.1658,0.5829
0,1.191,0.5955
0,1.1709,0.5855
0,1.1697,0.5849
0,1.1414,0.5707
0,1.1577,0.5789
0,1.1816,0.5908
0,1.1767,0.5884
0,1.1913,0.5957
0,1.1745,0.5873
0,1.168,0.584
0,1.172,0.586
0,1.1704,0.5852
0,1.1842,0.5921
0,1.1753,0.5877
0,1.1556,0.5778
0,1.1769,0.5885
0,1.18,0.59
0,1.1865,0.5933
0,1.1848,0.5924
0,1.1977,0.5989
0,1.1851,0.5926
0,1.1804,0.5902
0,1.1674,0.5837
0,1.1757,0.5879
0,1.1597,0.5799
0,1.1549,0.5775
0,1.1486,0.5743
0,1.1431,0.5716
0,1.165,0.5825
0,1.1779,0.589
0,1.1826,0.5913
0,1.1858,0.5929
0,1.2032,0.6016
0,1.2062,0.6031
0,1.2069,0.6035
0,1.2143,0.6072
0,1.2108,0.6054
0,1.2164,0.6082
0,1.2414,0.6207
0,1.2219,0.611
0,1.2254,0.6127
0,1.2335,0.6168
0,1.2502,0.6251
0,1.2576,0.6288
0,1.2587,0.6294
0,1.2609,0.6305
0,1.2534,0.6267
0,1.2545,0.6273
0,1.2473,0.6237
0,1.221,0.6105
0,1.2506,0.6253
0,1.2523,0.6262
0,1.2197,0.6099
0,1.2286,0.6143
0,1.2195,0.6098
0,1.2343,0.6172
0,1.2336,0.6168
0,1.2448,0.6224
0,1.2437,0.6219
0,1.2414,0.6207
0,1.2302,0.6151
0,1.2462,0.6231
0,1.2416,0.6208
0,1.2403,0.6202
0,1.2269,0.6135
0,1.2388,0.6194
0,1.2441,0.6221
0,1.2655,0.6328
0,1.2735,0.6368
0,1.2683,0.6342
0,1.2688,0.6344
0,1.2739,0.637
0,1.2651,0.6326
0,1.2703,0.6352
0,1.2879,0.644
0,1.2917,0.6459
0,1.2784,0.6392
0,1.29,0.645
0,1.2901,0.6451
0,1.2846,0.6423
0,1.2782,0.6391
0,1.2839,0.642
0,1.286,0.643
0,1.2943,0.6472
0,1.2967,0.6484
0,1.2737,0.6369
0,1.2857,0.6429
0,1.3044,0.6522
0,1.3134,0.6567
0,1.3298,0.6649
0,1.3305,0.6653
0,1.3225,0.6613
0,1.3318,0.6659
0,1.3433,0.6717
0,1.3544,0.6772
0,1.3522,0.6761
0,1.3528,0.6764
0,1.3595,0.6798
0,1.362,0.681
0,1.3558,0.6779
0,1.3571,0.6786
0,1.3571,0.6786
0,1.3477,0.6739
0,1.3375,0.6688
0,1.3184,0.6592
0,1.3386,0.6693
0,1.3268,0.6634
0,1.3111,0.6556
0,1.3194,0.6597
0,1.3195,0.6598
0,1.3338,0.6669
0,1.3449,0.6725
0,1.3464,0.6732
0,1.3495,0.6748
0,1.3569,0.6785
0,1.3468,0.6734
0,1.3569,0.6785
0,1.352,0.676
0,1.3497,0.6749
0,1.3402,0.6701
0,1.3327,0.6664
0,1.3386,0.6693
0,1.3298,0.6649
0,1.3448,0.6724
0,1.3385,0.6693
0,1.3278,0.6639
0,1.3262,0.6631
0,1.3437,0.6719
0,1.3492,0.6746
0,1.3242,0.6621
0,1.3196,0.6598
0,1.3136,0.6568
0,1.3225,0.6613
0,1.323,0.6615
0,1.3187,0.6594
0,1.3161,0.6581
0,1.298,0.649
0,1.2882,0.6441
0,1.2875,0.6438
0,1.2805,0.6403
0,1.2738,0.6369
0,1.2655,0.6328
0,1.2742,0.6371
0,1.2865,0.6433
0,1.2889,0.6445
0,1.3007,0.6504
0,1.297,0.6485
0,1.3174,0.6587
0,1.317,0.6585
0,1.3284,0.6642
0,1.3198,0.6599
0,1.3401,0.6701
0,1.3392,0.6696
0,1.3318,0.6659
0,1.3436,0.6718
0,1.3358,0.6679
0,1.3295,0.6648
0,1.3324,0.6662
0,1.3133,0.6567
0,1.3094,0.6547
0,1.3033,0.6517
0,1.3,0.65
0,1.2871,0.6436
0,1.2906,0.6453
0,1.2965,0.6483
0,1.2817,0.6409
0,1.2686,0.6343
0,1.2671,0.6336
0,1.28,0.64
0,1.2668,0.6334
0,1.2456,0.6228
0,1.2486,0.6243
0,1.2544,0.6272
0,1.2603,0.6302
0,1.2785,0.6393
0,1.2795,0.6398
0,1.2767,0.6384
0,1.2897,0.6449
0,1.2967,0.6484
0,1.289,0.6445
0,1.2822,0.6411
0,1.2973,0.6487
0,1.3057,0.6529
0,1.2824,0.6412
0,1.2782,0.6391
0,1.2786,0.6393
0,1.296,0.648
0,1.2962,0.6481
0,1.3029,0.6515
0,1.2943,0.6472
0,1.2987,0.6494
0,1.3116,0.6558
0,1.3167,0.6584
0,1.3184,0.6592
0,1.32,0.66
0,1.3165,0.6583
0,1.3148,0.6574
0,1.322,0.661
0,1.3211,0.6606
0,1.323,0.6615
0,1.3097,0.6549
0,1.3154,0.6577
0,1.3167,0.6584
0,1.3108,0.6554
0,1.3023,0.6512
0,1.3095,0.6548
0,1.318,0.659
0,1.3116,0.6558
0,1.3159,0.658
0,1.3253,0.6627
0,1.3286,0.6643
0,1.3237,0.6619
0,1.3324,0.6662
0,1.3309,0.6655
0,1.3259,0.663
0,1.3361,0.6681
0,1.3381,0.6691
0,1.335,0.6675
0,1.3158,0.6579
0,1.3315,0.6658
0,1.3364,0.6682
0,1.3311,0.6656
0,1.3162,0.6581
0,1.3302,0.6651
0,1.322,0.661
0,1.3166,0.6583
0,1.3236,0.6618
0,1.3315,0.6658
0,1.3173,0.6587
0,1.3016,0.6508
0,1.2908,0.6454
0,1.2749,0.6375
0,1.2972,0.6486
0,1.2863,0.6432
0,1.2751,0.6376
0,1.2871,0.6436
0,1.2805,0.6403
0,1.2549,0.6275
0,1.2562,0.6281
0,1.2225,0.6113
0,1.1892,0.5946
0,1.177,0.5885
0,1.1907,0.5954
0,1.1825,0.5913
0,1.1947,0.5974
0,1.2213,0.6107
0,1.2122,0.6061
0,1.1867,0.5934
0,1.1921,0.5961
0,1.2128,0.6064
0,1.2107,0.6054
0,1.1645,0.5823
0,1.1706,0.5853
0,1.1817,0.5909
0,1.1983,0.5992
0,1.2075,0.6038
0,1.2244,0.6122
0,1.2208,0.6104
0,1.2365,0.6183
0,1.2334,0.6167
0,1.2444,0.6222
0,1.2664,0.6332
0,1.2577,0.6289
0,1.2463,0.6232
0,1.2469,0.6235
0,1.2391,0.6196
0,1.2497,0.6249
0,1.24,0.62
0,1.2258,0.6129
0,1.208,0.604
0,1.2117,0.6059
0,1.2187,0.6094
0,1.2184,0.6092
0,1.2593,0.6297
0,1.2603,0.6302
0,1.2558,0.6279
0,1.2547,0.6274
0,1.2759,0.638
0,1.2672,0.6336
0,1.2664,0.6332
0,1.2577,0.6289
0,1.2694,0.6347
0,1.2779,0.639
0,1.2759,0.638
0,1.2983,0.6492
0,1.2995,0.6498
0,1.3085,0.6543
0,1.2944,0.6472
0,1.3066,0.6533
0,1.2999,0.65
0,1.3201,0.6601
0,1.3148,0.6574
0,1.319,0.6595
0,1.3211,0.6606
0,1.325,0.6625
0,1.3264,0.6632
0,1.3171,0.6586
0,1.3035,0.6518
0,1.2945,0.6473
0,1.304,0.652
0,1.2927,0.6464
0,1.3031,0.6516
0,1.299,0.6495
0,1.2948,0.6474
0,1.2856,0.6428
0,1.2905,0.6453
0,1.2748,0.6374
0,1.2824,0.6412
0,1.2823,0.6412
0,1.2819,0.641
0,1.2963,0.6482
0,1.2842,0.6421
0,1.3013,0.6507
0,1.3111,0.6556
0,1.3129,0.6565
0,1.3237,0.6619
0,1.3143,0.6572
0,1.3231,0.6616
0,1.3301,0.6651
0,1.3461,0.6731
0,1.3474,0.6737
0,1.3544,0.6772
0,1.352,0.676
0,1.3664,0.6832
0,1.3666,0.6833
0,1.3764,0.6882
0,1.3733,0.6867
0,1.3724,0.6862
0,1.385,0.6925
0,1.3819,0.691
0,1.4001,0.7001
0,1.3954,0.6977
0,1.3942,0.6971
0,1.3937,0.6969
0,1.3809,0.6905
0,1.403,0.7015
0,1.4228,0.7114
0,1.4042,0.7021
0,1.4112,0.7056
0,1.407,0.7035
0,1.4224,0.7112
0,1.4383,0.7192
0,1.4331,0.7166
0,1.4128,0.7064
0,1.4233,0.7117
0,1.4095,0.7048
0,1.4183,0.7092
0,1.411,0.7055
0,1.4358,0.7179
0,1.4243,0.7122
0,1.3973,0.6987
0,1.4059,0.703
0,1.4012,0.7006
0,1.4256,0.7128
0,1.4359,0.718
0,1.4342,0.7171
0,1.448,0.724
0,1.4666,0.7333
0,1.4603,0.7302
0,1.455,0.7275
0,1.4491,0.7246
0,1.4472,0.7236
0,1.4221,0.7111
0,1.4234,0.7117
0,1.4059,0.703
0,1.4236,0.7118
0,1.4282,0.7141
0,1.4358,0.7179
0,1.4146,0.7073
0,1.4154,0.7077
0,1.4174,0.7087
0,1.4013,0.7007
0,1.4,0.7
0,1.3938,0.6969
0,1.3954,0.6977
0,1.4027,0.7014
0,1.4356,0.7178
0,1.44,0.72
0,1.4214,0.7107
0,1.4299,0.715
0,1.4314,0.7157
0,1.4305,0.7153
0,1.4477,0.7239
0,1.4454,0.7227
0,1.4377,0.7189
0,1.4433,0.7217
0,1.4457,0.7229
0,1.4564,0.7282
0,1.4611,0.7306
0,1.4692,0.7346
0,1.4704,0.7352
0,1.4866,0.7433
0,1.4927,0.7464
0,1.4924,0.7462
0,1.4805,0.7403
0,1.4738,0.7369
0,1.4703,0.7352
0,1.4613,0.7307
0,1.4617,0.7309
0,1.4484,0.7242
0,1.4589,0.7295
0,1.4621,0.7311
0,1.4726,0.7363
0,1.4621,0.7311
0,1.4712,0.7356
0,1.4852,0.7426
0,1.47,0.735
0,1.4606,0.7303
0,1.467,0.7335
0,1.4827,0.7414
0,1.4894,0.7447
0,1.4807,0.7404
0,1.4807,0.7404
0,1.4857,0.7429
0,1.5065,0.7533
0,1.5336,0.7668
0,1.5413,0.7707
0,1.5662,0.7831
0,1.5539,0.777
0,1.5655,0.7828
0,1.5559,0.778
0,1.5417,0.7709
0,1.5313,0.7657
0,1.5405,0.7703
0,1.5381,0.7691
0,1.5284,0.7642
0,1.5393,0.7697
0,1.5489,0.7745
0,1.5472,0.7736
0,1.5341,0.7671
0,1.5347,0.7674
0,1.5344,0.7672
0,1.5485,0.7743
0,1.5531,0.7766
0,1.5543,0.7772
0,1.5443,0.7722
0,1.5532,0.7766
0,1.5496,0.7748
0,1.5479,0.774
0,1.5433,0.7717
0,1.5356,0.7678
0,1.5302,0.7651
0,1.5442,0.7721
0,1.5238,0.7619
0,1.5223,0.7612
0,1.5067,0.7534
0,1.5196,0.7598
0,1.5447,0.7724
0,1.5473,0.7737
0,1.5474,0.7737
0,1.5582,0.7791
0,1.5693,0.7847
0,1.5817,0.7909
0,1.574,0.787
0,1.5846,0.7923
0,1.5871,0.7936
0,1.5887,0.7944
0,1.5968,0.7984
0,1.583,0.7915
0,1.5929,0.7965
0,1.6149,0.8075
0,1.6217,0.8109
0,1.6271,0.8136
0,1.6165,0.8083
0,1.6146,0.8073
0,1.6213,0.8107
0,1.6185,0.8093
0,1.6257,0.8129
0,1.6126,0.8063
0,1.6365,0.8183
0,1.6559,0.828
0,1.6502,0.8251
0,1.6661,0.8331
0,1.6803,0.8402
0,1.67,0.835
0,1.6619,0.831
0,1.6591,0.8296
0,1.6345,0.8173
0,1.6292,0.8146
0,1.6434,0.8217
0,1.6451,0.8226
0,1.6561,0.8281
0,1.6206,0.8103
0,1.6339,0.817
0,1.6129,0.8065
0,1.6154,0.8077
0,1.6167,0.8084
0,1.6199,0.81
0,1.6271,0.8136
0,1.6055,0.8028
0,1.6064,0.8032
0,1.6123,0.8062
0,1.6266,0.8133
0,1.6271,0.8136
0,1.6282,0.8141
0,1.6325,0.8163
0,1.618,0.809
0,1.6228,0.8114
0,1.6355,0.8178
0,1.6282,0.8141
0,1.6194,0.8097
0,1.6123,0.8062
0,1.6137,0.8069
0,1.6089,0.8045
0,1.6197,0.8099
0,1.63,0.815
0,1.6063,0.8032
0,1.6034,0.8017
0,1.6016,0.8008
0,1.612,0.806
0,1.6148,0.8074
0,1.6045,0.8023
0,1.6014,0.8007
0,1.592,0.796
0,1.5934,0.7967
0,1.6102,0.8051
0,1.6344,0.8172
0,1.6342,0.8171
0,1.6277,0.8139
0,1.6271,0.8136
0,1.6346,0.8173
0,1.6417,0.8209
0,1.631,0.8155
0,1.6129,0.8065
0,1.6263,0.8132
0,1.6369,0.8185
0,1.6215,0.8108
0,1.6184,0.8092
0,1.625,0.8125
0,1.637,0.8185
0,1.6321,0.8161
0,1.6507,0.8254
0,1.6476,0.8238
0,1.6648,0.8324
0,1.686,0.843
0,1.6856,0.8428
0,1.6678,0.8339
0,1.6825,0.8413
0,1.6572,0.8286
0,1.64,0.82
0,1.6225,0.8113
0,1.5932,0.7966
0,1.5768,0.7884
0,1.549,0.7745
0,1.5751,0.7876
0,1.5666,0.7833
0,1.5687,0.7844
0,1.588,0.794
0,1.5869,0.7935
0,1.6014,0.8007
0,1.599,0.7995
0,1.5837,0.7919
0,1.5901,0.7951
0,1.6066,0.8033
0,1.6003,0.8002
0,1.6012,0.8006
0,1.6036,0.8018
0,1.6229,0.8115
0,1.627,0.8135
0,1.636,0.818
0,1.6329,0.8165
0,1.6175,0.8088
0,1.6225,0.8113
0,1.6222,0.8111
0,1.6218,0.8109
0,1.6246,0.8123
0,1.5763,0.7882
0,1.5812,0.7906
0,1.5697,0.7849
0,1.5725,0.7863
0,1.588,0.794
0,1.5844,0.7922
0,1.582,0.791
0,1.5368,0.7684
0,1.5171,0.7586
0,1.503,0.7515
0,1.5289,0.7645
0,1.5362,0.7681
0,1.5286,0.7643
0,1.5096,0.7548
0,1.4966,0.7483
0,1.4671,0.7336
0,1.4879,0.744
0,1.5104,0.7552
0,1.5252,0.7626
0,1.5348,0.7674
0,1.5492,0.7746
0,1.5732,0.7866
0,1.5977,0.7989
0,1.5945,0.7973
0,1.6198,0.8099
0,1.5884,0.7942
0,1.619,0.8095
0,1.5971,0.7986
0,1.6056,0.8028
0,1.6334,0.8167
0,1.6525,0.8263
0,1.6319,0.816
0,1.5783,0.7892
0,1.6792,0.8396
0,1.6639,0.832
0,1.6343,0.8172
0,1.6375,0.8188
0,1.6098,0.8049
0,1.6367,0.8184
0,1.6205,0.8103
0,1.6252,0.8126
0,1.5893,0.7947
0,1.597,0.7985
0,1.6199,0.81
0,1.6047,0.8024
0,1.5933,0.7967
0,1.5925,0.7963
0,1.5762,0.7881
0,1.5663,0.7832
0,1.5558,0.7779
0,1.5452,0.7726
0,1.5416,0.7708
0,1.536,0.768
0,1.5575,0.7788
0,1.5768,0.7884
0,1.578,0.789
0,1.6266,0.8133
0,0,0
0,1.6292,0.8146
0,1.6196,0.8098
0,1.6377,0.8189
0,1.6351,0.8176
0,1.6053,0.8027
0,1.6153,0.8077
0,1.616,0.808
0,1.6067,0.8034
0,1.5901,0.7951
0,1.6038,0.8019
0,1.5913,0.7957
0,1.5935,0.7968
0,1.6331,0.8166
0,1.6201,0.8101
0,1.6296,0.8148
0,1.6275,0.8138
1.5802,1.6186,1.5994
1.5902,1.629,1.6096
0,1.6518,0.8259
0,1.6615,0.8308
0,1.6576,0.8288
0,1.6444,0.8222
0,1.6402,0.8201
0,1.6569,0.8285
0,1.6573,0.8287
0,1.6573,0.8287
0,1.6673,0.8337
1.6182,1.6588,1.6385
1.6361,1.6759,1.656
1.6343,1.6742,1.6543
1.6364,1.6786,1.6575
1.6462,1.6865,1.6664
1.6751,1.711,1.6931
1.6835,1.7227,1.7031
1.7349,1.7744,1.7547
1.7584,1.7963,1.7774
1.7546,1.791,1.7728
1.7432,1.7794,1.7613
1.7527,1.7889,1.7708
1.7477,1.7842,1.766
1.7663,1.8033,1.7848
1.7605,1.7981,1.7793
1.7656,1.8038,1.7847
1.7759,1.8148,1.7954
1.7819,1.8205,1.8012
1.7796,1.8184,1.799
1.7796,1.8184,1.799
1.7733,1.812,1.7927
1.7616,1.7999,1.7808
1.7741,1.814,1.7941
1.7634,1.8036,1.7835
1.7847,1.823,1.8039
